[MASTER] 21:28:35.955 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /Users/Peifeng/Desktop/Study/Topics-in-Software-Engineering/GitLab/cs527/evosuite/case_study/async-http-client/client/.evosuite/evosuite-seeds/org.asynchttpclient.netty.channel.NettyConnectListener.seed
[MASTER] 21:29:06.294 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class io.netty.handler.ssl.SslContext canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 21:29:13.331 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.lang.ThreadGroup due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 21:29:14.582 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.lang.ThreadGroup due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 21:29:14.633 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 21:29:16.623 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 21:29:17.702 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 21:29:19.225 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.lang.ThreadGroup due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 21:29:32.022 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 21:29:32.028 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 21:30:07.240 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThread due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.lang.ThreadGroup due to org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.ThreadGroup canUseFunctionalMocks=true, canBeMocked: false
