[MASTER] 19:23:56.138 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /Users/Peifeng/Desktop/Study/Topics-in-Software-Engineering/GitLab/evosuite/case_study/async-http-client/extras/rxjava2/.evosuite/evosuite-seeds/org.asynchttpclient.extras.rxjava2.DefaultRxHttpClient.seed
[MASTER] 19:23:56.799 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 5 seconds more than allowed.
[MASTER] 19:24:20.564 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 15, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.DefaultAsyncHttpClient>>
[MASTER] 19:24:21.077 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 6, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.DefaultAsyncHttpClient>>
[MASTER] 19:24:21.253 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 4, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncHandlerAdapter>>
[MASTER] 19:24:22.451 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 3, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.handler.TransferCompletionHandler>>
[MASTER] 19:24:22.587 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 7, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncHandlerAdapter>>
[MASTER] 19:24:24.109 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 13, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.DefaultAsyncHttpClient>>
[MASTER] 19:24:24.706 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 7, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncCompletionHandlerAdapter>>
[MASTER] 19:24:26.734 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 10, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncCompletionHandlerAdapter>>
[MASTER] 19:24:29.822 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 5, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.handler.TransferCompletionHandler>>
[MASTER] 19:24:31.661 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 6, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncCompletionHandlerAdapter>>
[MASTER] 19:24:32.174 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 9, type java.util.function.Supplier<org.asynchttpclient.AsyncHandler<java.lang.Integer>> is not assignable to java.util.function.Supplier<? extends org.asynchttpclient.AsyncHandler<org.asynchttpclient.AbstractBasicTest$AsyncCompletionHandlerAdapter>>
