[MASTER] 19:17:40.363 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /Users/Peifeng/Desktop/Study/Topics-in-Software-Engineering/GitLab/evosuite/case_study/async-http-client/extras/rxjava2/.evosuite/evosuite-seeds/org.asynchttpclient.extras.rxjava2.maybe.AbstractMaybeAsyncHandlerBridge.seed
[MASTER] 19:18:17.414 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 19:18:20.644 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for io.netty.util.AsciiString due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for io.netty.util.AsciiString due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 19:18:23.806 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class java.lang.Void canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 19:18:26.746 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class java.time.chrono.MinguoChronology canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 19:18:27.066 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class org.evosuite.runtime.mock.java.time.chrono.MockJapaneseDate canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 19:18:39.477 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class java.time.chrono.ThaiBuddhistChronology canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 19:18:40.099 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.asynchttpclient.netty.NettyResponse due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.asynchttpclient.netty.NettyResponseStatus due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for io.netty.handler.codec.http.DefaultFullHttpResponse due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 19:18:40.817 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.testng.internal.ClonedMethod due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.testng.junit.JUnit4TestMethod due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.testng.junit.JUnit3TestClass due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 19:18:41.681 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class java.time.chrono.JapaneseChronology canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 19:21:43.095 [pool-2-thread-1] WARN  ClassResetter - class java.lang.NoClassDefFoundError thrown while loading method  __STATIC_RESET() for class org.testng.TestRunner
